word_hex	blocker_count	blockers_zero_based
0b808422	4	1269,1509,1562,1631
0c111111	4	1045,1311,1387,1643
0c112881	4	16,88,165,1406
0c142414	4	146,193,888,1559
0c184848	4	188,1039,1183,1279
0c188124	3	232,494,1236
0c248821	2	222,791
0c411428	3	53,64,1097
0c822811	3	328,416,1422
0c844824	4	294,440,447,1250
0d102881	2	16,1575
0d104412	4	1270,1482,1559,1645
0d108128	3	494,1183,1389
0d188024	2	455,494
0d202222	4	222,1286,1653,1658
0d204141	3	325,1482,1576
0d222220	2	1653,1658
0d281011	3	1643,1650,1660
0d402114	3	195,356,476
0d404288	3	376,1108,1576
0d484280	4	376,466,546,779
0d801182	4	271,1189,1562,1575
0d802448	3	112,387,1623
0d804824	4	219,294,1108,1270
0d818201	4	213,228,271,420
0d821102	2	271,1575
0d844021	3	294,1343,1545
0d844820	1	294
0d882048	4	112,223,1172,1623
0d882408	3	112,223,1623
0e101111	3	477,1045,1483
0e108282	4	228,257,359,1033
0e110111	4	1045,1387,1524,1629
