parent	edge_1	edge_2	edge_3	edge_4	edge_5	edge_6	target_kind	target_index
12	6,7	5,17	19,23	2,28	22,38	34,39	base	33
12	6,7	5,17	2,28	19,32	22,38	34,39	base	49
12	6,7	5,17	2,28	22,38	23,38	34,39	base	32
12	6,7	5,17	2,28	24,31	22,38	34,39	base	38
13	0,1	4,17	20,24	23,24	3,29	35,38	base	113
13	0,1	4,5	6,7	20,21	20,24	21,25	base	94
13	0,1	5,16	21,25	22,25	2,28	34,39	base	113
13	4,17	20,21	20,24	23,24	3,29	35,38	base	123
13	4,17	20,24	23,24	21,25	3,29	35,38	base	124
13	4,17	20,24	23,24	24,25	3,29	35,38	base	226
13	4,17	20,24	23,24	3,29	26,32	35,38	base	221
13	4,5	4,17	20,24	23,24	3,29	35,38	base	57
13	4,5	5,16	21,25	22,25	2,28	34,39	base	57
13	5,16	20,21	21,25	22,25	2,28	34,39	base	123
13	5,16	20,24	21,25	22,25	2,28	34,39	base	124
13	5,16	21,25	22,25	2,28	27,33	34,39	base	221
13	5,16	21,25	22,25	24,25	2,28	34,39	base	226
13	6,7	4,17	20,24	23,24	3,29	35,38	base	51
13	6,7	5,16	21,25	22,25	2,28	34,39	base	51
14	0,1	4,17	21,22	3,27	22,32	35,38	base	154
14	0,1	4,5	6,7	22,32	23,33	32,33	base	93
14	0,1	5,16	20,23	2,26	23,33	34,39	base	154
14	4,17	21,22	22,23	3,27	22,32	35,38	base	122
14	4,17	21,22	3,27	22,32	23,33	35,38	base	125
14	4,17	21,22	3,27	22,32	32,33	35,38	base	227
14	4,17	21,22	3,27	24,30	22,32	35,38	base	223
14	4,5	4,17	21,22	3,27	22,32	35,38	base	59
14	4,5	5,16	20,23	2,26	23,33	34,39	base	59
14	5,16	20,23	2,26	22,32	23,33	34,39	base	125
14	5,16	20,23	2,26	23,33	32,33	34,39	base	227
14	5,16	20,23	2,26	25,31	23,33	34,39	base	223
14	5,16	20,23	22,23	2,26	23,33	34,39	base	122
14	6,7	4,17	21,22	3,27	22,32	35,38	base	49
14	6,7	5,16	20,23	2,26	23,33	34,39	base	49
15	0,1	4,17	3,25	22,28	33,36	21,38	base	181
15	0,1	4,17	3,25	30,31	33,36	21,38	base	184
15	0,1	4,17	3,25	33,36	21,38	31,39	base	113
15	0,1	4,17	3,25	33,36	21,38	38,39	base	99
15	0,1	4,5	4,17	3,25	33,36	21,38	base	70
15	0,1	4,5	5,16	2,24	32,37	20,39	base	70
15	0,1	4,5	6,7	30,31	30,38	31,39	base	95
15	0,1	5,16	2,24	23,29	32,37	20,39	base	181
15	0,1	5,16	2,24	30,31	32,37	20,39	base	184
15	0,1	5,16	2,24	32,37	20,39	38,39	base	99
15	0,1	5,16	2,24	32,37	30,38	20,39	base	113
15	0,1	6,7	4,17	3,25	33,36	21,38	base	158
15	0,1	6,7	5,16	2,24	32,37	20,39	base	158
15	4,17	3,25	22,28	30,31	33,36	21,38	base	228
15	4,17	3,25	22,28	33,36	21,38	31,39	base	221
15	4,17	3,25	22,28	33,36	21,38	38,39	base	83
15	4,17	3,25	30,31	33,36	21,38	31,39	base	123
15	4,17	3,25	30,31	33,36	21,38	38,39	base	82
15	4,17	3,25	33,36	21,38	31,39	38,39	base	226
15	4,5	4,17	3,25	22,28	33,36	21,38	base	52
15	4,5	4,17	3,25	30,31	33,36	21,38	base	63
15	4,5	4,17	3,25	33,36	21,38	31,39	base	57
15	4,5	4,17	3,25	33,36	21,38	38,39	base	76
15	4,5	5,16	2,24	23,29	32,37	20,39	base	52
15	4,5	5,16	2,24	30,31	32,37	20,39	base	63
15	4,5	5,16	2,24	32,37	20,39	38,39	base	76
15	4,5	5,16	2,24	32,37	30,38	20,39	base	57
15	4,5	6,7	4,17	3,25	33,36	21,38	base	30
15	4,5	6,7	5,16	2,24	32,37	20,39	base	30
15	5,16	2,24	23,29	30,31	32,37	20,39	base	228
15	5,16	2,24	23,29	32,37	20,39	38,39	base	83
15	5,16	2,24	23,29	32,37	30,38	20,39	base	221
15	5,16	2,24	30,31	32,37	20,39	38,39	base	82
15	5,16	2,24	30,31	32,37	30,38	20,39	base	123
15	5,16	2,24	32,37	30,38	20,39	38,39	base	226
15	6,7	4,17	3,25	22,28	33,36	21,38	base	50
15	6,7	4,17	3,25	30,31	33,36	21,38	base	61
15	6,7	4,17	3,25	33,36	21,38	31,39	base	51
15	6,7	4,17	3,25	33,36	21,38	38,39	base	219
15	6,7	5,16	2,24	23,29	32,37	20,39	base	50
15	6,7	5,16	2,24	30,31	32,37	20,39	base	61
15	6,7	5,16	2,24	32,37	20,39	38,39	base	219
15	6,7	5,16	2,24	32,37	30,38	20,39	base	51
16	0,1	4,17	3,25	22,28	31,34	21,36	base	116
16	0,1	4,17	3,25	31,34	21,36	36,37	base	180
16	0,1	4,17	3,25	31,34	21,36	37,39	base	154
16	0,1	4,17	3,25	31,34	21,36	38,39	base	155
16	0,1	4,5	4,17	3,25	31,34	21,36	base	66
16	0,1	4,5	5,16	2,24	30,35	20,37	base	66
