G8_CORNERS degree=4 profile_size=14
TARGET 40004040 profile=7024,8646,8808,11086,12841,18336,18698,20562,23020,25363,29754,32140,33198,35636
TARGET 40004044 profile=278,745,1843,5961,7027,8809,12549,18802,27276,28693,32104,33740,34662,35060
TARGET 40004400 profile=2916,7552,12162,14568,17893,19966,20458,20545,26079,30366,32058,32139,39487,40207
TARGET 40004404 profile=744,7027,12591,18203,19181,21938,24489,25320,28843,30247,32317,33183,35785,39106
TARGET 40004440 profile=1843,1916,2885,7510,11075,11086,19095,23376,24531,26433,30417,32140,34586,39114
TARGET 40004444 profile=3043,3097,7504,8818,11040,18544,19181,20458,22771,25201,26440,32356,34586,36612
TARGET 40040000 profile=749,7147,9366,12201,12852,19266,22815,23823,25327,30745,32032,36676,38171,39106
TARGET 40040004 profile=749,7681,18345,19396,20450,22915,26435,26808,26985,30458,32356,34666,35315,35407
TARGET 40040040 profile=226,874,3098,7510,7692,8817,12595,14569,19270,19298,27280,30745,38221,40100
TARGET 40040044 profile=205,7680,8804,12154,12568,20031,20544,23224,24338,27242,30562,30763,35407,38221
TARGET 40040400 profile=1900,3020,7069,11026,12591,14406,14568,19264,19960,20534,23841,30247,38738,39487
TARGET 40040404 profile=3003,3006,8868,12159,12284,17728,23520,26817,30405,33020,34586,36369,36427,38643
TARGET 40040440 profile=738,745,7514,8868,12550,14461,18640,18645,19181,23838,27312,30127,30754,36369
TARGET 40040444 profile=278,720,7688,12288,12549,14568,18578,18640,19813,26085,28843,32352,34663,35061
TARGET 40044000 profile=949,3001,7692,11086,11466,12912,17734,20060,20487,24491,26402,31990,36430,39697
TARGET 40044004 profile=723,747,6994,12571,22888,22933,25320,27276,29754,30744,32051,34666,36459,37624
TARGET 40044040 profile=200,3098,6046,10960,12274,17755,20487,25089,26805,29530,33866,34168,36459,36602
TARGET 40044044 profile=906,3007,6040,7531,8826,11073,19024,19669,20487,23823,24250,29538,29772,34662
TARGET 40044400 profile=1882,3025,6045,7041,7552,12578,14586,20562,23795,25058,26250,32051,35313,39703
TARGET 40044404 profile=1813,2952,6040,11081,12842,17861,17962,20463,23795,27286,28826,34663,35406,36305
TARGET 40044440 profile=1178,7232,8794,11829,18345,19338,20467,23376,23838,24489,26819,30127,30385,39626
TARGET 40044444 profile=3002,7503,7688,11040,12571,22795,23793,24922,26241,29539,30754,32352,35400,35784
TARGET 40400000 profile=725,11027,12229,17676,19672,20314,26433,27001,30562,32316,35060,35325,35770,39703
TARGET 40400004 profile=940,2002,3002,7027,7069,12180,12187,14586,19432,23048,26403,29730,32280,33740
TARGET 40400040 profile=192,739,3018,7043,12229,12549,19901,26795,29458,29754,33183,33201,35325,35376
TARGET 40400044 profile=962,2002,3043,7069,9276,11026,17737,26081,27240,32130,33153,33183,34662,36304
TARGET 40400400 profile=180,949,1326,7027,8868,12852,18711,19882,20545,26985,30272,32032,39486,40100
TARGET 40400404 profile=732,936,1813,6783,9001,19027,19882,19891,26126,29154,32316,35060,35784,35785
TARGET 40400440 profile=738,1882,3002,14400,16353,17755,20117,21360,26087,27286,30127,32049,36349,38236
TARGET 40400444 profile=3003,7232,8640,11025,14564,18347,19266,19813,20192,24512,29400,29406,33201,34876
TARGET 40404000 profile=3005,3097,5552,6832,9012,10961,11878,12848,18646,20060,24491,32051,32140,40206
TARGET 40404004 profile=8647,8826,10092,12840,19027,19410,19669,19957,23823,25322,27273,30744,33740,38904
TARGET 40404040 profile=907,1812,6835,8640,14404,19024,23021,23736,26791,26807,33201,34170,35401,36675
