G8_CORNERS degree=3 profile_size=11
TARGET 33303030 profile=173,5232,5962,7692,12274,18646,25098,25178,27241,31984,38058
TARGET 33303033 profile=1812,1882,2882,7010,8793,12187,12886,19181,23640,34441,36462
TARGET 33303300 profile=1326,3384,6994,8482,8809,11875,17754,20116,20458,38881,39096
TARGET 33303303 profile=3163,6045,6780,8826,17893,19396,20321,26424,29400,32136,35785
TARGET 33303330 profile=2885,3360,10960,11987,12274,19155,23682,24531,26241,39602,39609
TARGET 33303333 profile=152,8640,12852,17860,18550,19669,20315,25829,26079,26440,34560
TARGET 33330000 profile=1842,7004,8795,14761,19624,23793,25014,25204,30722,37900,39696
TARGET 33330003 profile=1813,6903,7238,8804,12187,24379,24960,30405,33874,35281,39159
TARGET 33330030 profile=483,3042,8664,11878,18515,18645,20545,24306,35287,36307,38778
TARGET 33330033 profile=3481,5920,7680,7692,12170,14407,17850,19235,29406,30563,38643
TARGET 33330300 profile=874,2115,5986,8868,12840,19095,23010,29075,33847,35760,36450
TARGET 33330303 profile=944,948,2883,5920,6728,19625,22914,26446,29406,32136,38779
TARGET 33330330 profile=1,874,1900,1957,6885,12067,23586,26435,36427,36460,38736
TARGET 33330333 profile=0,1898,5913,6794,14768,19069,19270,20532,29425,36450,39702
TARGET 33333000 profile=5926,6794,11875,19376,20165,24541,24964,25201,30562,34176,39097
TARGET 33333003 profile=158,6040,10960,12851,19194,25810,26352,28835,31987,35760,36459
TARGET 33333030 profile=1802,2881,6835,8817,12154,12287,17848,23842,29736,30096,35322
TARGET 33333033 profile=5199,7688,11824,11854,12848,13305,20198,29538,30722,34656,36349
TARGET 33333300 profile=5926,7632,10081,14916,17980,19516,19900,24540,26400,28842,32136
TARGET 33333303 profile=180,4636,7681,12571,14400,19181,23529,25003,26073,33995,35280
TARGET 33333330 profile=1,1858,7692,8794,12848,20138,20470,23616,26243,27273,39600
TARGET 33333333 profile=2880,3132,6035,11824,14569,17746,20532,23823,34584,34656,36335
